Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Food and drink,Online boarding,Inflight entertainment,On-board service,Leg room service,Inflight service,Departure Delay in Minutes,Arrival Delay in Minutes,Churn
5,5,5,4,5,4,4,4,4,0,0,Not churn
3,4,3,2,3,2,3,4,3,0,0,Churn
4,5,4,5,5,5,4,4,4,0,4,Not churn
5,1,1,1,2,5,5,5,5,29,40,Not churn
2,1,2,4,3,3,3,2,3,0,11,Churn
2,2,2,5,3,4,4,4,4,94,86,Not churn
2,2,2,2,5,4,4,4,4,0,0,Not churn
3,4,3,5,3,5,3,4,5,0,0,Churn
2,4,2,5,2,5,5,4,5,5,8,Churn
4,4,4,2,4,2,3,5,4,93,88,Churn
2,2,2,4,2,4,3,3,3,0,46,Churn
3,3,3,2,3,2,4,3,5,10,0,Churn
5,5,5,3,5,4,4,4,4,0,0,Not churn
2,4,2,5,2,5,5,4,4,0,0,Churn
3,3,3,2,3,2,4,2,5,2,1,Churn
4,4,4,3,5,4,4,4,4,0,0,Not churn
3,5,2,3,3,5,5,2,5,0,0,Churn
4,3,4,1,4,1,1,5,4,0,0,Not churn
5,5,3,5,4,2,2,2,2,9,0,Not churn
5,5,5,3,5,3,4,4,2,0,0,Not churn
4,3,3,4,4,4,3,1,1,86,78,Not churn
4,0,4,2,4,2,1,5,2,0,0,Not churn
5,3,3,1,2,5,5,5,5,0,0,Not churn
1,1,1,4,3,4,4,4,4,0,0,Not churn
3,4,4,2,3,2,4,2,4,0,0,Churn
2,2,2,5,5,4,4,4,4,29,18,Not churn
1,1,2,3,4,2,2,2,2,0,0,Not churn
5,5,2,4,3,5,5,5,5,0,0,Not churn
4,5,4,3,4,3,4,3,4,0,0,Churn
2,2,1,4,4,5,5,4,5,1,0,Not churn
4,5,4,4,4,4,3,3,4,9,1,Not churn
3,5,3,2,3,2,4,2,4,0,0,Churn
3,3,3,3,5,4,4,4,4,0,0,Not churn
1,1,1,3,1,5,5,5,5,0,4,Not churn
3,4,4,3,4,3,3,3,3,25,16,Churn
3,2,5,4,4,3,3,3,3,90,77,Churn
2,1,1,1,1,1,1,4,3,0,0,Churn
3,4,3,2,3,2,4,5,4,0,0,Churn
4,4,4,4,4,1,1,4,1,1,3,Churn
0,0,0,2,0,2,4,1,5,0,0,Not churn
3,1,3,1,1,3,3,3,3,0,0,Churn
1,1,1,5,5,4,4,4,4,0,0,Not churn
1,5,1,2,1,2,3,4,5,0,0,Churn
4,0,4,4,4,4,3,5,5,0,0,Not churn
0,0,0,2,0,2,4,4,5,0,0,Not churn
1,4,2,2,1,5,2,4,4,168,163,Churn
3,3,3,3,5,4,4,4,4,18,16,Not churn
1,3,3,1,1,1,1,2,4,0,0,Churn
0,4,0,5,5,4,4,0,4,0,0,Not churn
3,5,3,4,3,4,5,2,4,45,42,Churn
2,1,1,2,3,2,2,2,2,0,1,Churn
5,5,5,5,5,5,1,3,5,16,0,Not churn
5,3,5,4,5,4,1,1,3,0,0,Not churn
4,2,2,5,4,4,4,4,4,0,15,Churn
4,4,4,4,4,4,1,2,4,0,0,Churn
2,4,2,5,2,5,4,4,5,0,0,Churn
2,2,4,3,4,4,4,4,4,0,0,Not churn
3,4,4,3,2,3,3,3,3,85,72,Churn
4,2,2,3,1,4,4,4,4,0,0,Not churn
3,3,3,1,3,1,2,2,3,6,13,Churn
5,2,2,5,5,5,4,3,5,1,0,Not churn
3,2,2,5,4,3,3,3,3,0,0,Churn
4,4,4,1,4,1,5,4,4,11,4,Not churn
3,3,3,3,3,3,4,4,4,3,0,Churn
1,1,1,1,3,2,3,3,2,0,2,Churn
4,4,4,2,4,2,2,5,5,0,0,Churn
1,1,1,4,4,4,4,4,4,0,0,Not churn
3,5,3,5,3,5,3,5,4,102,88,Churn
1,3,3,1,1,3,5,2,4,0,0,Churn
1,1,1,2,1,2,1,5,1,4,0,Churn
4,5,0,2,0,2,3,4,5,0,0,Not churn
3,3,3,4,3,4,1,4,4,33,28,Churn
0,0,0,1,0,1,5,4,4,0,0,Not churn
3,2,3,3,5,4,4,4,4,0,0,Not churn
2,2,2,5,4,4,4,4,4,19,16,Not churn
3,3,3,2,4,3,3,2,3,15,14,Not churn
3,4,3,3,3,3,5,4,4,0,0,Churn
2,2,2,1,2,1,4,4,1,35,30,Churn
3,5,3,4,4,3,3,3,3,40,44,Churn
2,2,2,5,4,2,4,4,2,0,9,Not churn
1,5,1,5,1,5,3,2,5,0,0,Churn
2,2,2,2,2,2,2,3,3,0,6,Churn
1,1,1,3,1,3,4,1,3,0,0,Churn
2,2,2,2,5,3,3,3,3,0,3,Not churn
1,1,1,2,5,4,4,4,4,51,71,Not churn
4,4,4,4,4,4,3,2,5,0,5,Churn
3,3,3,3,2,5,5,5,5,0,3,Not churn
4,4,4,3,4,3,4,4,1,0,0,Churn
2,5,2,2,4,5,3,4,4,17,79,Churn
2,2,2,5,4,5,3,5,4,0,0,Not churn
2,4,2,2,1,3,2,4,4,152,151,Churn
1,3,1,2,1,2,1,3,3,0,0,Churn
4,3,3,4,4,4,2,1,3,0,0,Not churn
4,4,4,3,5,5,5,5,5,19,38,Not churn
5,4,5,5,5,5,4,4,4,0,0,Not churn
2,2,2,3,4,2,2,2,2,0,5,Not churn
3,5,4,5,4,3,3,3,3,0,0,Churn
5,5,5,5,5,5,3,2,3,0,0,Not churn
2,2,4,4,4,5,5,5,5,0,12,Not churn
2,5,2,3,2,3,3,3,4,38,30,Churn
3,3,3,4,3,5,5,5,5,0,0,Not churn
4,4,2,4,4,5,5,5,5,16,4,Not churn
0,4,0,4,0,4,4,4,4,18,10,Not churn
5,1,1,5,5,5,3,1,1,47,62,Not churn
4,4,4,5,5,4,4,4,4,0,1,Not churn
5,5,5,3,5,5,5,5,5,8,0,Not churn
4,4,4,2,5,3,3,4,3,33,21,Not churn
3,3,3,4,4,4,2,3,3,0,1,Not churn
3,4,3,4,4,4,4,3,4,0,0,Churn
3,5,3,1,1,3,3,3,3,0,29,Churn
1,4,1,2,1,2,3,5,4,0,0,Churn
5,2,2,4,1,5,5,5,5,11,4,Not churn
2,2,2,3,5,4,4,4,4,24,24,Not churn
2,5,2,2,2,2,4,4,5,0,0,Churn
3,4,3,4,3,4,2,1,4,13,1,Churn
0,5,0,4,4,2,2,2,2,0,0,Not churn
2,1,1,2,2,2,2,3,2,52,41,Churn
2,4,2,5,4,3,3,2,3,0,0,Churn
4,4,4,2,5,5,5,5,5,5,0,Not churn
4,4,4,4,5,2,2,2,2,7,0,Not churn
4,4,4,4,4,4,3,3,3,4,0,Not churn
4,4,4,5,5,4,4,5,4,2,6,Not churn
3,4,3,3,3,3,4,1,4,23,14,Churn
3,4,2,1,2,1,2,5,3,0,0,Churn
3,3,3,5,4,4,4,4,4,0,0,Not churn
2,2,2,4,4,4,3,3,5,0,0,Not churn
2,3,2,4,4,3,3,2,3,3,0,Churn
1,4,1,1,1,1,4,3,5,0,0,Churn
3,4,3,4,5,5,5,3,5,0,0,Churn
4,4,4,5,4,5,4,3,5,0,0,Churn
4,4,4,4,4,4,4,4,4,37,38,Not churn
1,1,1,1,1,1,1,4,4,0,32,Churn
5,5,5,3,5,5,5,5,5,0,1,Not churn
4,2,3,1,3,1,4,1,3,0,0,Not churn
2,2,2,5,4,5,5,5,5,0,0,Not churn
2,4,0,2,0,2,2,2,3,47,94,Churn
2,1,2,3,2,3,1,4,2,35,29,Churn
5,5,3,3,5,5,5,5,5,5,14,Not churn
2,2,2,2,4,2,4,4,3,0,0,Churn
2,4,4,2,1,2,1,4,4,0,0,Churn
3,3,5,4,4,4,4,4,4,2,0,Not churn
4,4,4,1,4,1,5,2,5,12,16,Not churn
5,5,3,4,4,4,4,4,5,0,0,Not churn
5,1,1,4,5,5,5,5,5,0,11,Not churn
3,0,3,5,3,5,4,3,4,100,93,Churn
5,5,5,5,5,5,4,1,2,2,0,Not churn
2,2,2,5,5,5,3,2,5,2,0,Not churn
4,4,4,3,4,3,4,3,3,0,0,Churn
3,3,3,5,5,5,1,1,4,0,0,Not churn
3,2,2,4,2,4,3,3,4,3,8,Churn
1,2,1,3,1,3,2,4,4,0,0,Churn
1,1,1,4,1,4,3,2,3,0,0,Churn
3,3,3,5,5,3,3,4,3,0,0,Not churn
2,2,2,5,4,4,4,4,4,62,55,Not churn
1,1,1,5,4,5,5,5,5,0,0,Not churn
3,5,3,2,3,2,5,4,4,0,0,Churn
5,1,1,5,5,5,2,2,2,0,0,Not churn
2,2,2,3,5,3,3,4,3,0,0,Not churn
1,5,5,1,1,4,2,2,2,132,117,Churn
5,5,5,5,5,5,2,3,2,0,0,Not churn
3,3,3,5,4,5,5,5,5,0,0,Not churn
4,4,4,5,5,3,4,3,4,60,75,Not churn
0,4,1,4,1,5,5,5,5,0,0,Not churn
1,2,1,4,4,4,1,5,2,0,0,Not churn
3,5,3,2,4,5,5,3,5,0,14,Churn
1,1,1,3,4,2,2,2,2,0,0,Churn
2,2,2,5,5,5,3,3,2,0,0,Not churn
1,1,1,4,3,4,4,4,4,0,0,Not churn
4,4,3,2,3,2,4,5,5,8,11,Churn
3,3,3,5,3,5,3,2,4,26,44,Churn
1,2,1,5,4,2,2,1,2,0,0,Churn
2,5,5,2,4,2,2,2,2,0,0,Churn
4,2,4,3,4,3,1,1,2,0,0,Churn
1,0,1,5,1,5,4,5,5,32,12,Churn
4,4,4,3,4,4,4,4,4,0,0,Not churn
4,4,4,2,5,3,3,3,3,4,7,Not churn
3,4,4,4,4,4,3,3,1,0,0,Churn
2,2,2,5,5,5,5,2,4,6,0,Not churn
3,3,3,2,3,2,2,3,2,0,0,Churn
4,4,4,3,4,3,5,4,4,4,0,Not churn
1,5,1,2,1,2,5,2,4,0,0,Churn
4,4,4,4,4,4,4,4,4,0,0,Not churn
2,2,3,4,5,4,4,4,4,8,28,Not churn
1,1,1,3,4,4,4,5,4,0,0,Not churn
3,2,3,3,3,5,5,3,5,7,0,Churn
3,4,4,3,4,3,4,3,5,0,0,Churn
3,5,3,2,3,2,3,5,4,0,0,Churn
2,1,2,1,4,4,4,2,4,0,0,Churn
3,1,3,2,3,2,4,1,3,40,27,Churn
1,1,1,3,4,1,1,2,1,0,5,Not churn
5,5,5,4,4,4,3,4,4,0,0,Not churn
4,3,3,1,3,1,2,5,1,0,0,Not churn
1,1,1,3,5,4,4,4,4,0,25,Not churn
4,5,4,1,1,1,3,1,3,8,7,Churn
5,2,2,5,2,5,5,5,5,32,29,Not churn
1,1,1,4,1,4,4,2,4,0,0,Churn
2,5,5,2,2,2,4,2,2,43,41,Churn
1,1,1,4,4,4,4,4,4,0,2,Not churn
3,1,1,3,3,3,4,4,3,0,0,Churn
5,5,3,5,5,5,2,4,1,0,5,Not churn
2,5,2,4,2,4,4,5,4,1,1,Churn
3,3,3,4,3,4,1,3,4,0,0,Churn
2,4,3,4,4,4,4,3,4,0,0,Churn
4,4,4,5,4,5,4,4,4,63,47,Churn
1,1,1,5,5,4,4,4,4,0,0,Not churn
3,2,3,2,3,3,3,3,3,0,0,Churn
4,3,1,2,4,3,3,4,3,0,0,Churn
2,5,3,5,3,5,4,3,4,35,35,Churn
3,4,4,1,4,3,3,3,3,0,0,Churn
4,4,2,2,2,2,1,5,3,2,0,Not churn
4,4,4,5,5,4,4,4,4,0,0,Not churn
2,2,2,5,2,5,5,5,5,15,3,Churn
1,3,2,4,2,4,5,4,4,0,0,Churn
4,4,4,4,4,4,4,5,4,17,10,Not churn
4,4,4,4,4,4,4,4,5,0,0,Churn
3,1,3,3,3,3,4,2,4,6,0,Churn
2,2,2,2,5,4,4,4,4,109,100,Not churn
1,2,1,2,1,2,4,5,2,38,22,Churn
4,4,4,2,3,4,4,4,4,0,0,Not churn
5,1,1,5,2,5,5,5,5,71,58,Not churn
4,4,4,4,4,3,2,4,4,145,147,Not churn
2,1,1,5,2,2,2,2,2,17,3,Churn
5,4,5,2,5,2,4,2,5,0,0,Not churn
4,4,4,2,5,4,4,4,4,0,0,Not churn
0,5,0,3,4,2,2,2,2,0,2,Not churn
1,4,2,2,3,3,5,5,5,0,0,Churn
1,4,0,5,0,5,3,2,4,0,0,Churn
2,5,2,5,2,5,5,5,5,15,0,Churn
2,5,2,1,4,3,3,2,3,0,0,Churn
2,3,5,1,3,2,2,2,2,0,0,Churn
4,4,2,4,5,4,4,4,4,0,0,Not churn
1,3,1,1,5,2,5,1,2,15,79,Churn
3,3,3,3,3,3,4,5,4,0,0,Churn
2,5,2,1,2,1,3,5,5,0,29,Churn
3,5,2,5,2,5,4,4,4,0,0,Churn
5,0,4,2,4,2,5,2,5,0,0,Not churn
1,5,1,3,5,3,3,1,3,0,0,Churn
3,2,2,5,4,3,3,3,3,26,23,Churn
1,5,1,4,1,4,1,1,2,0,34,Churn
4,5,2,3,4,4,4,4,4,0,3,Churn
4,2,4,4,4,4,1,3,3,12,2,Not churn
5,0,4,1,4,1,5,4,5,0,2,Not churn
3,4,3,5,5,2,2,3,2,0,0,Churn
3,3,3,1,3,1,3,3,3,93,123,Churn
5,5,5,5,5,4,4,4,4,0,0,Not churn
4,4,4,5,4,4,4,4,4,56,61,Not churn
5,5,1,2,3,4,4,4,4,26,18,Not churn
5,5,5,5,5,5,2,3,2,30,49,Not churn
3,1,3,3,3,3,2,3,4,48,42,Churn
2,2,2,4,4,4,4,4,4,114,95,Not churn
5,5,5,4,4,4,4,4,4,1,0,Not churn
3,2,3,2,2,2,2,3,2,5,0,Churn
1,4,1,2,1,2,3,3,4,0,0,Churn
3,2,2,5,4,3,3,3,3,1,0,Churn
4,1,4,5,5,4,4,5,4,0,8,Not churn
5,4,4,5,5,5,3,1,2,0,0,Not churn
2,2,2,5,2,5,5,1,2,9,29,Churn
1,4,1,5,1,5,4,3,5,0,2,Churn
3,3,3,5,4,3,3,2,3,0,0,Not churn
4,3,4,5,4,5,3,3,4,0,0,Churn
2,4,4,2,2,2,1,4,4,23,46,Churn
1,1,1,4,3,1,1,1,1,8,14,Churn
5,5,3,5,5,4,4,4,4,0,0,Not churn
3,5,5,3,3,3,2,3,4,14,8,Churn
1,0,1,2,1,2,1,4,4,0,57,Churn
1,1,1,2,1,2,1,3,3,0,0,Churn
3,1,3,1,3,1,1,5,3,0,0,Churn
3,3,3,3,3,3,3,4,3,15,7,Churn
5,5,5,3,4,4,4,4,4,0,0,Not churn
4,4,4,2,4,2,3,2,5,0,0,Churn
0,0,0,1,0,1,3,4,4,10,19,Not churn
3,5,3,4,3,4,1,2,1,0,0,Churn
4,4,4,5,4,5,4,5,5,0,0,Churn
1,0,0,2,0,2,3,5,4,0,0,Churn
4,1,4,4,2,1,1,4,1,0,2,Churn
1,1,4,4,5,4,4,4,4,9,1,Not churn
3,4,3,2,4,5,5,4,5,0,0,Not churn
5,5,5,3,4,4,4,4,4,0,0,Not churn
5,3,3,5,5,5,3,5,3,0,11,Not churn
1,1,1,5,5,5,5,5,5,0,0,Not churn
4,5,4,3,4,3,4,4,5,0,0,Churn
2,4,2,3,2,3,5,5,4,33,28,Churn
5,3,3,5,5,5,2,4,3,0,34,Not churn
1,0,0,4,3,3,3,0,3,16,16,Churn
2,5,2,3,4,4,4,2,4,0,0,Churn
2,3,2,5,2,5,2,5,3,26,16,Churn
2,2,2,2,2,2,4,5,2,0,0,Churn
1,5,1,2,1,2,5,2,4,0,0,Churn
4,4,4,5,5,5,4,4,5,493,485,Not churn
5,4,5,1,5,1,1,5,4,0,0,Not churn
3,4,4,5,2,3,3,3,3,1,0,Churn
1,1,1,3,5,5,5,5,5,28,27,Not churn
5,5,5,3,4,5,5,5,5,3,2,Not churn
5,5,3,4,4,4,4,4,4,26,31,Not churn
3,3,3,3,4,4,4,4,4,9,0,Not churn
3,3,3,2,3,2,2,1,4,6,57,Churn
2,2,2,2,2,2,5,5,2,0,0,Churn
1,3,1,3,1,3,2,5,4,1,2,Churn
1,4,4,1,3,1,1,1,1,14,27,Churn
3,3,3,4,4,4,1,4,2,0,2,Not churn
5,5,5,5,3,5,5,5,5,0,0,Not churn
0,4,0,3,0,3,4,2,4,5,0,Not churn
5,5,5,5,5,4,4,4,4,6,0,Not churn
4,3,3,4,4,4,4,3,4,3,7,Churn
4,4,4,3,4,4,4,4,4,0,0,Not churn
1,3,1,1,4,4,4,1,4,72,62,Churn
5,5,5,5,5,5,5,4,4,0,0,Not churn
1,1,1,5,5,5,5,2,4,0,0,Not churn
1,4,4,1,1,1,3,1,3,0,0,Churn
3,1,3,3,3,3,2,1,3,32,28,Churn
5,5,5,4,4,4,3,5,4,0,0,Not churn
5,5,2,2,4,4,4,4,4,0,0,Not churn
4,1,1,2,3,4,4,4,4,4,0,Not churn
2,4,1,1,1,1,4,3,4,1,0,Churn
3,4,4,3,3,3,4,5,4,0,0,Churn
2,2,5,4,4,4,4,4,4,0,0,Not churn
3,3,3,5,5,4,4,4,4,0,0,Not churn
3,3,3,5,3,5,4,5,4,11,11,Churn
4,4,4,4,5,5,5,5,5,0,0,Not churn
3,1,1,2,3,3,3,3,3,0,0,Churn
3,3,3,1,3,1,4,5,4,15,11,Churn
1,1,5,5,5,5,4,3,5,0,0,Not churn
5,1,5,4,3,2,2,5,2,0,0,Not churn
3,5,4,1,4,1,4,2,3,9,0,Churn
2,5,5,3,4,2,2,2,2,2,7,Churn
4,4,5,4,4,4,2,2,1,27,47,Not churn
4,2,2,4,4,4,5,1,2,0,0,Not churn
1,1,1,2,1,3,3,5,3,1,12,Not churn
5,4,4,5,5,5,3,5,4,0,0,Not churn
2,0,2,3,2,3,5,4,2,0,21,Churn
3,4,3,3,3,3,4,2,5,13,6,Churn
1,4,1,4,1,4,3,1,4,36,52,Churn
3,1,1,5,4,3,3,3,3,14,17,Churn
3,2,2,3,3,3,1,1,4,125,128,Churn
5,4,4,2,1,5,5,5,5,0,0,Not churn
2,5,2,3,2,3,4,2,4,32,46,Churn
2,4,3,4,3,4,3,5,4,18,13,Churn
4,2,2,5,3,4,4,4,4,13,29,Churn
2,2,2,2,2,2,1,4,3,1,0,Churn
5,5,5,3,5,5,5,5,5,0,0,Not churn
1,4,1,5,1,5,4,1,4,9,11,Churn
1,1,1,5,1,5,4,2,4,0,5,Churn
1,4,1,5,1,5,3,3,4,0,0,Churn
2,2,2,5,5,5,5,5,5,12,4,Not churn
4,4,4,4,4,4,2,3,3,15,12,Churn
0,5,0,4,0,4,5,5,5,0,0,Not churn
2,5,2,2,2,2,5,5,4,0,0,Churn
1,4,4,1,1,1,4,5,4,29,29,Churn
5,5,5,5,5,5,4,3,5,0,0,Not churn
4,4,4,4,4,4,3,1,3,40,46,Churn
4,4,4,1,1,4,4,4,4,64,69,Not churn
4,5,4,4,4,4,1,5,3,8,0,Not churn
4,4,4,2,5,4,4,4,4,0,0,Not churn
2,2,3,4,4,4,4,4,4,0,0,Not churn
4,5,4,2,4,2,5,4,1,0,32,Churn
3,1,1,3,3,3,3,3,3,0,0,Churn
2,2,2,3,5,5,5,5,5,4,0,Not churn
1,1,1,4,1,4,3,3,4,0,1,Churn
2,1,4,3,2,2,2,2,2,42,25,Churn
5,5,5,5,5,5,5,5,5,0,0,Not churn
0,4,0,3,4,2,2,0,2,0,0,Not churn
5,5,5,2,4,3,3,4,3,0,0,Not churn
1,4,2,2,2,2,2,5,4,0,1,Churn
2,1,1,5,4,2,2,2,2,0,0,Churn
3,4,3,3,3,3,4,2,3,93,99,Churn
3,3,3,2,4,5,5,5,5,0,0,Not churn
4,5,4,2,5,5,5,4,5,5,0,Not churn
1,4,1,3,1,3,5,3,4,0,44,Churn
1,2,1,1,1,1,1,4,4,0,0,Churn
4,4,4,4,4,4,4,4,4,1,0,Churn
5,2,2,5,5,5,2,4,1,0,0,Not churn
1,3,0,2,0,2,4,5,3,44,58,Churn
3,3,3,4,4,5,3,4,4,416,407,Not churn
2,2,2,5,5,4,4,4,4,18,2,Not churn
3,1,1,5,4,3,3,3,3,0,0,Churn
4,2,2,4,4,4,1,3,3,0,7,Not churn
4,4,4,4,5,3,3,3,3,2,3,Not churn
5,5,2,4,4,4,5,5,5,14,0,Not churn
2,2,2,5,5,4,4,4,4,0,0,Not churn
2,2,2,2,2,2,3,4,5,0,0,Churn
2,3,2,4,2,1,1,2,1,0,0,Churn
0,2,0,5,3,4,4,0,4,0,0,Not churn
1,3,1,4,4,3,1,4,1,46,48,Not churn
3,5,3,5,3,5,5,3,5,1,0,Churn
2,1,2,5,2,5,4,4,4,0,0,Churn
2,5,5,2,2,2,2,4,4,0,15,Churn
4,2,2,1,3,4,4,4,4,6,11,Churn
2,2,2,4,2,4,1,3,4,4,13,Churn
2,3,2,1,2,1,5,3,4,0,0,Churn
2,2,2,5,5,5,5,5,5,0,0,Not churn
2,5,5,4,3,2,2,2,2,39,29,Churn
2,2,2,2,2,2,4,5,3,0,0,Churn
3,2,3,4,3,4,1,5,4,0,18,Churn
5,5,5,5,5,5,4,5,5,0,0,Not churn
1,4,4,5,2,1,1,1,1,0,0,Churn
3,2,3,4,3,4,3,1,2,57,35,Churn
2,2,2,1,4,2,2,3,2,0,8,Churn
3,2,3,5,3,5,4,3,4,0,0,Churn
4,4,4,5,4,3,3,4,3,0,0,Not churn
4,5,4,5,4,5,5,3,4,0,0,Not churn
1,1,1,4,4,4,5,3,5,0,0,Not churn
1,1,1,4,4,5,5,5,5,0,0,Not churn
2,3,3,1,4,2,2,2,2,0,0,Churn
2,3,3,4,3,3,3,3,3,105,101,Churn
3,5,3,3,3,3,4,4,4,5,11,Churn
2,2,2,2,2,2,4,4,4,20,0,Not churn
2,1,1,2,2,2,3,5,3,5,7,Churn
3,3,3,1,4,4,4,4,4,0,0,Not churn
1,5,1,1,1,4,4,4,4,50,37,Not churn
4,3,4,4,4,5,5,4,5,4,0,Churn
5,1,1,5,5,5,3,5,2,0,0,Not churn
3,3,3,2,3,4,4,4,4,0,0,Not churn
2,2,2,2,5,4,4,4,4,31,23,Not churn
3,5,5,3,3,3,3,3,3,24,0,Churn
0,0,0,4,0,4,4,3,4,11,0,Not churn
1,1,3,5,5,5,5,4,4,0,0,Not churn
4,3,3,5,4,2,2,2,2,0,11,Churn
3,3,3,3,4,3,3,4,3,113,105,Not churn
3,5,3,5,3,5,3,4,5,17,13,Churn
2,1,2,4,2,4,3,3,1,25,29,Churn
1,4,1,2,4,3,3,1,3,0,0,Churn
0,5,0,4,0,4,1,2,2,20,20,Not churn
3,3,3,5,5,3,3,4,3,0,11,Not churn
1,4,1,1,1,1,3,2,5,0,0,Churn
3,5,3,3,3,3,3,2,4,0,0,Churn
1,1,1,4,1,4,1,5,2,0,0,Churn
2,2,2,2,4,5,5,5,5,0,0,Not churn
3,3,3,4,3,4,2,5,4,40,29,Churn
3,5,5,3,3,3,2,5,3,86,82,Churn
2,2,2,1,2,1,1,5,3,124,114,Churn
2,2,0,0,3,2,2,3,1,187,191,Churn
3,5,3,2,3,2,5,1,3,0,0,Churn
5,3,5,2,4,2,2,5,2,0,0,Not churn
3,3,3,3,4,3,3,4,3,1,0,Not churn
2,1,1,2,2,2,2,5,3,8,10,Churn
2,5,2,1,2,1,3,5,5,0,0,Churn
3,5,3,5,3,5,3,2,5,7,0,Churn
2,1,3,2,3,2,2,5,3,0,0,Churn
3,4,4,3,3,3,3,5,4,0,0,Churn
5,5,5,4,5,4,4,4,4,0,4,Not churn
3,3,3,2,4,3,3,3,3,0,0,Not churn
2,2,2,5,4,4,4,4,4,9,0,Not churn
1,1,1,5,5,5,3,4,1,36,33,Not churn
2,2,3,3,4,4,4,4,4,32,28,Not churn
5,5,5,1,2,5,5,5,5,0,0,Not churn
1,4,1,2,1,2,2,3,3,1,0,Churn
3,4,3,4,4,4,4,3,4,0,0,Churn
3,3,1,5,5,5,5,3,2,7,9,Not churn
5,5,5,5,5,5,3,5,4,0,0,Not churn
5,5,5,4,4,4,4,4,4,15,50,Not churn
2,4,4,2,2,2,4,5,3,0,0,Churn
2,5,5,3,1,2,2,2,2,31,30,Churn
1,1,1,2,4,3,3,4,3,17,3,Not churn
3,2,2,3,3,3,4,1,4,4,0,Churn
2,3,1,2,1,2,1,5,2,3,8,Churn
1,4,1,4,1,4,4,5,4,17,24,Churn
1,5,2,4,2,4,5,2,1,0,2,Churn
5,5,3,4,5,4,4,4,4,5,18,Not churn
3,3,3,5,3,5,3,3,5,0,0,Churn
2,2,4,5,5,5,5,5,5,3,0,Not churn
2,1,1,3,3,2,2,2,2,0,0,Churn
1,1,1,4,5,4,3,5,3,247,286,Not churn
3,5,3,2,3,2,5,3,5,7,17,Churn
2,2,2,5,2,5,4,2,4,0,0,Churn
1,3,3,1,1,1,2,4,4,0,0,Churn
2,4,3,5,5,1,1,3,1,0,0,Churn
1,2,2,1,1,1,3,5,3,13,12,Churn
0,3,0,1,1,4,4,5,4,13,0,Not churn
4,4,4,5,5,2,2,2,2,0,0,Not churn
1,1,1,5,4,4,4,4,4,0,0,Not churn
4,4,4,1,4,1,4,4,4,24,16,Churn
3,2,3,3,3,3,1,2,3,0,25,Churn
4,4,4,4,3,2,4,4,2,0,0,Churn
4,4,4,3,5,5,5,5,5,0,16,Not churn
4,0,4,2,4,2,5,4,4,0,0,Not churn
